Images,LM1,LM2,LM3,LM4,LM5,LM6,LM7,LM8,LM9,LM10,LM11
147,1.25732,1.07826,1.20854,0.7789,1.26819,4.46146,4.50407,3.55819,3.84111,1.54317,0.95264
148,1.06428,1.65402,2.45942,2.50394,2.68352,3.34096,1.64154,1.89535,1.00705,1.77753,1.75238
149,1.09213,1.56613,0.97735,1.0597,0.32046,4.43435,1.92073,2.69956,2.12753,1.01059,0.26238
150,4.7115,3.07171,4.28927,4.2163,0.72356,6.54081,6.65803,7.66366,9.9025,7.84332,3.98727
151,1.68552,0.38247,1.43128,1.77573,2.83316,3.63314,4.38725,3.1634,2.00169,1.52133,2.00711
152,2.58415,3.96696,3.71914,1.31209,1.02547,9.58994,13.73142,12.90504,10.51686,6.72804,3.28283
153,0.84964,2.50165,1.57755,1.89957,1.56926,2.71423,3.07748,2.93606,3.68643,1.95852,1.54959
154,1.94402,1.68685,1.49023,1.39532,2.30115,1.64793,3.59495,3.94794,6.923,0.32883,0.83607
155,1.95328,1.87133,1.72958,1.86613,2.59133,5.24872,5.53944,4.79581,6.7428,1.59616,2.65265
156,3.1058,5.63032,1.95227,3.70404,0.69272,3.80538,4.86175,3.33764,3.47434,3.93196,3.50966
157,1.96874,1.85902,1.08059,2.13058,2.16741,0.80863,1.24834,0.78804,3.37784,1.33402,0.81152
158,1.51837,1.46929,2.88614,1.21505,0.4613,3.897,2.58306,3.31322,4.34564,1.61355,1.55493
159,1.4065,1.41258,2.0302,1.00742,0.63369,1.69254,1.93431,3.0427,2.38681,1.3112,1.16628
160,2.93508,1.86611,2.18424,1.46526,0.69952,5.44391,3.66691,3.24439,4.31438,3.32265,3.15172
161,1.41461,1.32222,3.88783,2.32043,0.54736,0.11622,1.28616,0.35548,3.05388,4.06412,2.70348
162,1.60247,1.44255,1.71925,1.97832,0.81904,3.16326,0.39684,0.85477,2.7013,1.92689,2.27774
163,2.40969,1.15224,1.54707,1.005,1.21478,2.44693,1.38895,0.83628,0.71159,1.54298,0.36925
164,1.95903,0.74097,1.58633,2.65458,1.75573,0.67403,1.18541,3.01963,2.21039,1.58675,1.65848
165,1.52054,2.01169,1.63084,1.39556,0.50251,4.42494,3.62342,0.80171,1.60428,1.73774,2.72568
166,0.43781,1.0272,2.02871,1.90546,0.79196,2.71829,4.20892,2.16106,1.9747,1.50624,1.95187
167,1.87625,1.2166,2.67651,0.76782,0.65224,2.98289,1.63146,2.0227,2.10765,2.66691,1.99063
168,1.83871,2.91046,2.17346,1.69827,4.61794,0.65108,0.94396,2.34974,3.56818,1.67483,1.39752
169,1.56011,1.63012,0.99306,0.42567,1.24429,4.78732,5.45455,4.11051,3.83604,0.98728,1.60508
170,3.14664,2.96587,1.7347,4.61624,2.61344,0.55659,0.88102,1.15047,1.21013,3.09648,2.98931
171,6.38402,6.56774,4.70913,5.96568,5.14299,1.7259,2.41786,4.67703,6.02,6.77039,5.22238
172,1.17609,0.30483,0.99495,1.78882,0.51732,0.85809,1.11022,1.66065,2.19267,1.70731,1.76528
173,1.66161,2.55926,1.5036,2.74855,0.6004,5.21301,3.80404,4.09501,3.81502,0.58286,0.49923
174,0.97739,1.53476,1.88973,1.77481,1.21202,2.23314,1.43803,1.27788,1.17822,1.48488,0.62898
175,0.95698,0.44086,1.32557,0.79306,1.09758,3.84027,4.75319,4.14176,3.88928,2.03201,1.19426
176,1.34174,0.89286,0.87253,0.63343,1.65098,2.73963,1.80017,0.6597,1.84611,1.16667,1.56038
177,2.48164,2.26952,2.96218,3.29154,4.11966,0.49048,2.4099,3.81281,3.16993,3.18619,5.19996
178,1.1237,2.47675,0.83241,1.85935,3.08365,1.04287,1.46513,3.52492,1.25831,1.57105,1.77811
179,2.18799,1.41682,1.75481,2.70051,1.79332,1.94975,1.58154,1.9865,0.82198,1.21754,1.24411
180,1.94239,1.65322,2.46543,1.80682,3.07237,1.84026,4.10711,4.22632,4.05989,1.62588,1.00615
181,1.67805,2.30941,1.96194,0.63706,2.24316,3.6234,4.01347,3.62604,3.38753,2.51583,2.999
182,7.25544,6.91423,5.1942,6.57908,5.52629,4.3364,4.64854,4.63672,4.47857,4.72368,6.81408
183,1.6164,0.78231,1.84189,0.75938,2.30806,7.20973,6.61121,5.41788,4.11703,1.82522,2.34667
184,3.78469,3.35335,5.1681,3.3086,1.41909,3.56607,3.25709,4.31454,5.0978,3.68894,5.02623
185,1.30425,2.20889,1.55355,1.42029,0.20011,1.05488,2.79409,2.74842,4.13901,2.36067,1.4395
186,4.31489,4.66657,4.29408,5.18554,4.18159,2.39941,1.12322,1.85961,2.48374,4.14058,4.31981
187,1.98254,2.07673,1.45877,2.55803,1.22518,1.62809,2.28883,2.09481,4.28906,3.19753,0.53601
188,0.63597,0.65633,1.9107,1.07246,1.0902,5.97984,3.85237,3.24515,2.56019,1.76776,2.27011
189,1.4035,1.7506,0.69456,1.41586,0.57183,2.37535,3.31002,4.27845,2.11868,2.39091,1.48287
190,2.12704,1.44828,0.7588,1.4652,1.43913,1.8835,2.13057,1.36711,1.68713,0.53986,2.04167
191,1.51648,1.80901,0.04181,1.0363,2.57562,1.97807,1.74437,3.27237,2.86036,2.19752,1.78679
192,0.96246,0.53939,1.98161,1.20631,0.52226,5.93596,6.30099,5.25035,3.90655,1.46004,1.13166
193,2.11663,1.98232,2.07024,2.2607,2.9013,3.06538,2.36188,1.50962,1.15326,1.62283,1.03898
194,0.9034,1.00917,0.46388,0.34783,1.50932,2.99445,1.9776,1.9609,2.51516,1.96964,1.01744
195,1.20716,1.77486,0.42749,0.60376,3.23641,8.93019,9.80735,8.08619,7.8407,2.12342,0.52012
196,0.52981,0.57524,0.50197,1.10702,0.40233,2.6751,3.36498,1.45427,1.24903,0.41222,0.82257
197,3.13526,3.081,1.40607,4.47184,3.93564,6.5843,6.36928,8.30322,8.8461,0.91974,2.87546
198,3.67757,3.72957,2.93337,3.74035,3.30106,2.95313,3.17388,5.52009,7.07582,4.86739,4.55507
199,1.95953,2.47084,1.82223,0.92362,0.81985,4.58889,5.36829,5.81612,4.9076,3.93937,2.63009
200,2.06005,1.17789,1.94128,0.38813,1.25883,3.30467,4.97401,5.51729,5.84815,2.34066,1.59417
201,3.10948,3.77391,3.47658,1.13421,1.22966,6.69886,5.11624,6.13391,6.64779,2.41065,2.76759
202,2.98991,3.64231,3.36357,3.63954,4.51763,1.8705,3.94339,5.32773,3.57253,3.17974,2.14643
203,4.53448,4.73464,3.97457,3.93682,3.85229,5.66665,6.9227,8.24486,8.94756,3.97567,3.77545
204,8.71765,7.4849,8.04128,8.4614,8.1919,0.88215,2.22229,2.29608,1.07204,7.32619,9.0668
