Images,LM1,LM2,LM3,LM4,LM5,LM6,LM7,LM8,LM9,LM10
100,2.09571,1.18918,2.55675,3.71541,1.68678,2.01834,0.18813,0.70079,3.75216,2.97116
101,1.40084,1.42328,1.63629,0.74717,2.54751,1.11483,1.65216,0.2446,1.64039,0.30575
102,2.06806,0.44695,1.68719,1.2774,1.79713,2.18138,3.90923,1.21803,1.53238,1.79837
103,1.02294,1.22472,2.34376,1.88591,2.9152,1.38473,1.21941,1.13693,2.75958,1.62211
104,1.41659,1.95828,2.0398,2.12467,3.36962,2.29032,2.60165,2.74958,1.50702,3.40921
105,4.19571,4.62432,5.42569,6.37107,5.6692,4.30959,5.3274,4.82601,4.11722,3.1641
106,1.00944,2.9332,2.76751,3.08473,1.7562,1.40507,3.6334,3.25567,1.90464,1.63839
107,1.27804,1.19037,2.56191,2.79101,1.13979,1.25304,2.07947,0.95315,1.29166,1.2968
108,5.54572,4.52919,6.76945,2.29825,4.4444,2.48507,3.53097,1.29428,3.54199,2.25877
109,1.25488,1.20662,1.0674,0.74485,0.79191,2.28713,0.4534,0.33859,1.56834,1.6508
110,0.45324,3.42129,1.48237,3.44284,0.6342,2.40775,1.1651,1.8971,1.22803,0.62887
111,6.08299,3.3382,4.62649,3.1544,3.36346,2.17203,1.21955,1.51899,2.05427,2.23037
112,1.52037,0.87302,2.81494,0.90662,0.66254,1.09796,1.27005,0.8132,3.00013,2.84897
113,4.27821,1.17649,3.48459,0.99865,2.29629,0.45,0.6168,0.85157,1.98494,1.66056
114,3.04525,3.18688,3.14428,3.35705,2.86938,1.27017,0.94992,1.80286,3.01168,2.27184
115,2.53395,1.53119,1.5475,1.35813,0.73496,3.76265,0.82555,0.85914,1.43886,1.74849
116,4.11521,6.65821,3.08129,5.56013,3.32208,3.60486,0.98966,3.36627,1.11053,1.93006
117,3.71848,2.65398,2.96379,5.85817,3.23602,4.09441,1.05128,1.77099,2.27642,1.20053
118,4.10009,5.10694,3.56706,5.67916,2.04447,1.38267,3.79772,4.5018,1.34639,1.93019
119,2.88309,1.75689,2.29249,1.93723,4.63602,2.88041,1.1465,0.61021,0.1699,0.28093
120,4.21555,4.64966,4.2997,2.57901,4.63779,1.27056,4.10169,0.90798,5.84945,1.98787
121,2.49724,4.06031,2.79103,2.3677,2.03082,2.4775,1.82422,0.61224,0.51877,1.40039
122,3.57408,2.92055,3.64964,4.99816,4.04732,3.4932,2.90955,3.27886,2.17611,1.93894
123,4.07134,2.84755,4.50006,1.72584,3.17849,1.72436,1.44986,0.77597,1.13479,1.73546
124,7.85628,5.21348,3.58841,5.88607,3.25614,2.47801,3.24816,3.01435,3.49078,3.47748
125,4.34157,3.23239,2.3574,2.61277,2.14978,4.08615,1.6623,1.49808,2.09099,2.50212
126,3.56393,3.32661,1.87277,4.54475,7.41734,3.96261,0.49166,2.90231,0.71626,1.90082
127,3.57847,2.67419,1.37408,2.20256,2.01178,1.13673,0.23145,1.19095,0.92868,1.02997
128,3.48297,2.86425,4.49767,2.88334,4.14272,3.71506,5.64176,4.70957,3.31646,3.74082
129,4.48683,3.34729,1.86882,1.13842,1.01932,3.16533,2.17688,1.41642,3.82115,1.93034
130,4.20471,4.76429,2.77924,5.31719,3.25121,4.06624,1.23364,3.54614,1.31145,1.45962
131,2.497,2.09761,1.90093,3.00896,0.99927,1.18126,1.01912,2.42425,1.37227,0.94419
132,3.41889,0.68241,2.4708,1.60148,1.79287,1.36115,1.30381,1.84528,1.18339,3.20383
133,3.27689,4.61109,3.5632,4.23794,2.93447,2.2566,3.72244,2.65162,2.50506,2.46198
134,1.86737,2.09416,2.03715,3.0787,4.24326,2.42342,1.37727,1.67147,2.10426,1.91706
135,2.61771,1.30484,2.10345,2.23828,2.43957,2.31381,1.46791,1.33809,1.02059,1.13902
136,5.43665,7.33528,6.33951,6.90024,3.88826,5.74032,3.44548,3.99138,3.06848,1.3939
137,2.05941,0.90565,1.10536,2.82839,2.3842,1.18683,1.35482,0.83154,2.33614,1.70408
138,5.37867,6.53332,3.84727,6.84344,4.31786,7.4486,3.04315,3.25209,0.92599,2.83569
139,0.38182,2.46083,0.52549,3.36811,1.07766,2.37632,2.35993,2.74426,3.49463,4.57893
140,2.26132,6.91892,5.54666,4.6735,2.77491,1.49635,2.6748,1.76141,2.26906,1.1181
141,2.86226,1.46165,1.5926,1.43837,0.67551,0.79267,1.25855,0.63279,1.55791,0.54228
142,3.89176,1.78064,6.46611,3.39391,5.95811,3.86561,1.83234,0.7092,2.85266,1.07201
143,3.29956,1.18343,1.95131,1.9149,2.43618,2.11993,1.47323,0.9253,2.56554,0.22295
144,1.47388,5.39895,1.9878,2.89397,3.3852,5.4955,1.95731,2.6101,3.25996,2.87355
145,3.24267,4.37972,6.05107,5.37448,3.72987,4.64375,5.25499,4.81236,3.89236,4.40746
146,0.79846,2.96217,2.20247,2.57065,3.38038,4.09582,3.34868,3.29476,3.19077,3.52854
147,1.22679,0.33511,4.13597,1.45234,7.98852,0.8424,1.31949,1.31721,0.37949,0.73982
148,1.49929,3.21149,1.44406,1.8435,6.1539,3.87293,1.7423,0.73837,1.42729,1.65003
149,5.30263,1.09302,0.9189,1.63166,5.68431,4.3724,6.30203,5.46302,7.71279,5.88594
150,3.48513,6.43141,0.89135,6.30641,0.8263,4.40793,1.54306,1.69925,1.95815,2.53758
151,0.88605,0.41852,1.76154,0.68722,1.06506,0.15706,1.9308,0.4128,2.0389,1.79319
152,2.12375,1.69615,3.92005,1.28948,4.80268,2.15425,3.67814,1.10287,4.6255,2.21325
153,1.09616,3.00861,1.83144,4.07675,0.87433,2.03762,0.84544,0.63476,2.73833,3.12017
