Images,LM2,LM3,LM4,LM5,LM7,LM8,LM10,LM11
145,2.57862,1.28014,2.02829,1.87207,3.11356,2.85175,2.90495,2.34284
146,2.64893,1.86818,1.55376,3.39638,0.37851,0.61973,3.581,3.47954
147,0.75456,0.66067,0.60922,1.53413,3.56056,3.46812,1.46597,1.21183
148,1.09797,2.97193,2.41509,2.89475,1.41393,2.43793,1.15911,2.14412
149,2.05071,0.75832,1.52628,0.7308,2.80397,2.5806,0.67329,0.44012
150,0.58856,3.31282,3.04918,1.51222,6.17227,6.86471,5.63271,1.93303
151,1.79131,2.41317,1.42035,3.20037,4.55972,2.43926,2.09436,1.51391
152,5.93074,7.28376,3.2882,3.70177,12.38858,13.13682,6.87953,5.79129
153,2.427,2.49213,1.53967,1.6532,2.40905,2.17811,2.16688,1.22303
154,0.59429,1.3038,0.97212,2.30481,4.16341,4.37302,0.90557,0.77454
155,1.24685,2.71491,1.43209,2.21645,5.49163,4.54794,0.965,2.87214
156,5.24923,1.20809,3.08444,1.2571,3.3298,3.60078,3.01744,0.72076
157,2.51574,1.30874,1.92571,2.25321,0.28103,0.7123,1.24883,1.43709
158,1.60114,3.36321,1.49244,0.57075,1.932,4.49047,2.22129,1.71423
159,2.04184,2.54723,0.988,0.75556,1.18665,2.00118,1.5314,1.39814
160,1.70986,2.48221,1.54922,0.42142,2.75679,2.81351,2.57919,1.82433
161,0.78658,2.80718,2.52562,0.6622,1.19529,0.15126,3.79868,2.11898
162,1.63052,1.92951,2.09533,0.91877,1.22921,1.18067,2.08017,2.91284
163,1.77096,2.02419,1.63905,1.65221,2.53794,0.16319,2.11813,1.20413
164,0.78047,1.79882,3.26871,2.23585,0.76849,2.61957,1.26426,2.00221
165,1.61853,1.43135,1.28099,0.26772,3.87568,1.26665,2.28615,2.4792
166,1.10032,2.69549,1.72049,1.14415,4.46549,2.37104,1.98344,2.05192
167,1.4663,2.66543,0.50627,0.78132,1.4445,1.81392,2.76595,1.26643
168,3.68612,2.61943,1.49907,3.83352,1.07199,2.13973,1.77886,2.06484
169,1.20352,0.73456,0.38723,1.79459,4.47872,4.0956,0.90357,1.01718
170,1.5883,1.36795,2.91828,2.28899,1.08782,1.88296,2.85278,1.91346
171,7.49566,5.00188,5.51066,6.37628,4.70295,5.58671,6.93078,5.81858
172,0.94608,0.73639,1.80585,0.89685,0.80783,1.32193,1.32709,1.2795
173,3.39055,1.93557,3.24347,1.55445,3.97517,2.66795,0.35735,1.1225
174,2.0468,2.47637,2.13905,1.2465,1.19557,0.32609,1.86547,0.35994
175,1.1976,1.36075,0.59659,1.27016,3.86347,3.47521,2.08144,0.55782
176,0.27961,0.78063,1.10262,1.64685,1.46425,0.43729,1.44839,1.90792
177,1.79902,2.95442,2.21308,3.52387,2.50842,4.53054,2.25871,3.38716
178,2.17371,1.49087,1.47606,2.97094,1.44693,3.34856,1.62944,2.67004
179,2.53689,2.24141,2.8599,2.23177,2.70355,0.86554,2.22692,2.40665
180,3.07883,2.99015,2.45113,2.68135,4.35715,3.8439,1.89356,1.45363
181,1.48106,1.63918,0.45637,2.86139,3.10147,2.73682,2.18771,2.93858
182,7.09145,5.35857,6.21995,5.77389,4.67887,4.57491,5.50492,7.25512
183,0.78069,1.09285,0.1468,1.15215,5.51924,4.1128,1.47952,2.03258
184,4.32974,4.78455,3.09185,1.87117,4.49807,5.03518,3.24036,5.75974
185,1.67978,1.61091,1.57976,0.5459,3.0278,2.62859,2.88633,1.60211
186,4.34571,4.44199,4.65391,3.98599,0.08719,2.70564,3.84033,3.63118
187,1.21569,0.49225,1.53084,0.33946,3.02901,2.22331,3.07907,0.96214
188,1.57837,1.22816,1.2204,1.17681,3.8233,2.43556,2.31944,2.22143
189,0.9087,0.85492,0.70519,0.65154,2.42384,2.30858,2.61978,1.59577
190,2.19247,1.90382,1.74601,2.229,1.06267,1.1687,1.90062,3.1197
191,2.60847,1.29031,2.21394,3.14281,2.1735,3.26929,1.88908,1.80783
192,0.89416,1.87222,1.17645,0.84959,6.33993,4.35857,2.58526,0.90368
193,2.13168,1.95223,2.44286,2.32545,2.17033,1.0405,0.9065,1.01383
194,1.19911,1.20545,0.60463,1.73664,1.69222,2.6985,2.27734,1.35475
195,0.77528,1.10652,0.54763,3.41074,9.76671,8.37709,1.39702,0.50338
196,0.29255,0.55562,1.29223,0.20818,3.05279,0.65772,0.51451,0.8382
197,2.0636,1.88933,2.11709,2.46714,5.94482,7.77666,1.09234,3.14181
198,3.21686,2.08551,3.47775,3.4189,3.13384,4.05274,3.9895,2.96313
199,2.40946,1.79039,0.2403,0.61425,6.00673,6.4986,3.97935,2.48774
200,1.83744,1.91482,0.61262,1.64539,3.68672,4.12803,2.95178,2.0463
201,4.33951,4.47127,2.35258,1.70043,5.44785,5.9991,2.81644,2.98289
202,4.52721,4.14552,3.70881,5.58133,3.07359,4.84259,3.01504,2.74543
203,4.24384,4.40751,3.87704,3.39348,6.34975,7.05915,5.04659,4.04532
204,7.13971,8.24295,8.67562,8.47289,2.20744,1.75569,7.29473,8.29597
205,1.55097,2.4005,2.79206,1.34885,4.22036,3.7448,2.94717,2.16554
206,21.80391,21.54793,22.32386,19.85481,25.55376,25.24787,22.02341,21.41435
207,8.61172,8.70274,8.54116,8.63105,2.54453,3.34592,8.14544,8.69422
208,2.60392,3.82501,3.05257,1.9128,2.69012,1.83469,1.30191,2.70325
209,3.61581,3.93849,3.1075,4.20883,1.01595,1.21516,4.10261,3.19477
210,4.40727,3.75536,4.63892,4.58322,6.07073,6.52619,4.5945,3.79926
211,4.31583,4.5233,3.59632,1.58191,2.39152,2.08728,3.73112,3.63797
212,0.4466,1.00597,0.7425,1.38472,4.19748,4.17353,2.29485,1.73131
213,1.93782,2.12518,1.97105,2.4464,2.67754,1.34242,0.64721,1.8532
214,2.65055,4.85904,4.23462,2.66153,4.63822,4.91012,5.18333,5.18113
215,1.81147,2.90262,2.27362,1.33481,5.28668,5.66956,2.31409,1.45762
216,18.65555,16.72167,17.65402,16.25561,3.95725,4.98871,16.13302,16.38749
217,1.59774,2.40562,3.02808,1.45377,3.17325,3.65571,1.64911,2.22996
218,2.42975,1.87626,3.40868,1.35169,2.23557,1.88822,2.56253,2.60635
219,1.1575,0.98168,0.79395,1.09273,5.80275,5.44059,3.09515,1.26904
220,1.24167,2.11856,2.41208,2.23345,4.14747,4.47094,1.69909,2.36422
221,2.50076,4.61649,3.02271,2.90514,3.31268,0.22842,2.40834,2.32406
222,2.08374,3.14512,2.17789,1.75734,1.87319,2.00595,3.27961,2.67583
223,44.0889,37.47251,42.48031,42.19814,45.83695,45.02221,34.59957,40.64229
224,1.98408,2.74586,1.8917,1.49573,6.92014,6.8005,3.44721,1.39926
225,2.91703,4.37368,2.25164,1.37632,7.85369,8.79221,6.32382,3.3705
226,2.7475,2.11405,2.2983,2.53745,0.48982,0.92787,2.73916,2.42298
227,3.74141,4.05044,3.28361,3.80647,4.70965,5.01535,2.11165,2.81593
228,2.36631,3.40534,3.45303,1.60565,2.99586,2.94749,3.45599,3.34243
229,5.18045,5.89914,6.20391,6.01092,5.80735,4.31195,4.30625,4.23022
230,1.74658,2.24744,3.31029,2.4924,6.74086,10.46802,6.33276,4.97848
231,8.00153,8.31201,8.01538,9.65148,6.93012,7.6644,5.12118,7.95094
232,4.39134,4.10031,1.86468,2.8185,0.94745,2.58642,0.648,2.05478
233,2.81638,3.75129,1.93844,1.68194,3.81425,3.81978,1.48054,2.82004
234,4.73597,3.7664,1.30421,0.81004,1.50367,1.68052,0.72004,0.43495
235,2.14824,0.49567,1.17422,1.14142,1.4823,2.43721,1.55617,2.00435
236,1.85247,1.46527,0.99974,0.68751,1.08994,1.07826,1.42973,1.28713
237,4.57859,5.26095,4.81562,1.83626,5.03999,7.89791,6.89333,5.18958
238,1.90492,0.4198,2.10193,2.02273,1.10074,1.34283,2.60614,2.97935
239,2.06597,1.99368,1.66004,1.43519,1.41239,5.44165,2.43855,3.27337
240,1.15453,1.38579,0.67296,1.47996,1.64761,2.98402,1.654,0.88521
241,1.45798,2.48495,1.98266,3.63772,0.74941,2.42585,2.07806,1.99443
242,3.71286,2.65068,2.22659,2.14749,2.07455,4.95131,3.09176,4.58774
243,3.1721,2.12317,4.06063,4.4179,6.49196,5.72055,3.08687,3.01839
244,2.05555,2.53359,1.4521,2.86727,4.27442,4.56928,2.7699,2.27547
245,1.42449,1.70398,1.16448,1.5623,2.60603,3.75905,1.06292,1.10698
246,1.26578,1.16757,1.73453,2.11217,4.35673,2.42045,1.85743,1.54933
247,0.76659,0.62529,1.39351,0.52439,2.18235,2.56481,1.65279,1.54833
248,1.02523,1.04364,1.70558,2.14114,2.22923,2.12998,0.63088,0.86666
249,3.1248,4.04519,4.18995,4.08242,2.2101,2.48602,4.53556,3.18826
250,3.47018,1.62321,1.47386,2.59553,1.8695,2.65506,1.26104,1.10625
251,1.09762,0.93276,0.60299,1.69013,2.11951,3.31507,0.99676,2.1341
252,1.39309,1.82133,1.65747,1.09036,1.15674,4.0021,1.08856,1.30415
253,1.22851,0.28399,0.39481,0.35753,1.44166,1.22002,1.45129,1.21927
